runAt,commit,matrix,label,blockA,rel,hops,blockC,region,filters,step,endpoint,status,ms,rows,bytes,errorClass,errorMsg,chunksFailed,chunksSkipped,chunksMax
2026-09-14T23:23,9128aa9,M2,"facilities downstream wells [ME]",facilities,downstream,,wells,ME,"none",FIND_TARGET_IRIS,engine,success,302239,1986,0,ok,"",0,0,16
2026-09-14T23:23,9128aa9,M2,"facilities downstream aquifers [ME]",facilities,downstream,,aquifers,ME,"none",FIND_TARGET_IRIS,engine,success,194273,1743,0,ok,"",0,0,16
2026-09-14T23:23,9128aa9,M2,"waterBodies downstream samples [ME]",waterBodies,downstream,,samples,ME,"none",FIND_TARGET_IRIS,engine,success,11476,1511,0,ok,"",0,0,0
2026-09-14T23:23,9128aa9,M2,"waterBodies downstream facilities [ME]",waterBodies,downstream,,facilities,ME,"none",FIND_TARGET_IRIS,engine,error,1068534,0,0,failed,"SPARQL timeout (0): No response within 60s",0,0,16
2026-09-14T23:23,9128aa9,M2,"waterBodies downstream waterBodies [ME]",waterBodies,downstream,,waterBodies,ME,"none",FIND_TARGET_IRIS,engine,success,65438,6095,0,ok,"",0,0,0
2026-09-14T23:23,9128aa9,M2,"waterBodies downstream wells [ME]",waterBodies,downstream,,wells,ME,"none",FIND_TARGET_IRIS,engine,error,1099025,0,0,failed,"SPARQL timeout (0): No response within 60s",0,0,0
2026-09-14T23:23,9128aa9,M2,"waterBodies downstream aquifers [ME]",waterBodies,downstream,,aquifers,ME,"none",FIND_TARGET_IRIS,engine,success,788639,2661,0,ok-partial,"",0,7,16
2026-09-14T23:23,9128aa9,M2,"wells downstream samples [ME]",wells,downstream,,samples,ME,"none",FIND_TARGET_IRIS,engine,success,50790,28920,0,ok,"",0,0,0
2026-09-14T23:23,9128aa9,M2,"wells downstream facilities [ME]",wells,downstream,,facilities,ME,"none",FIND_TARGET_IRIS,engine,success,307324,26435,0,ok-partial,"",0,3,16
2026-09-14T23:23,9128aa9,M2,"wells downstream waterBodies [ME]",wells,downstream,,waterBodies,ME,"none",FIND_TARGET_IRIS,engine,success,298088,44112,0,ok-partial,"",1,0,16
2026-09-14T23:23,9128aa9,M2,"wells downstream wells [ME]",wells,downstream,,wells,ME,"none",FIND_TARGET_IRIS,engine,success,341777,14936,0,ok-partial,"",1,10,16
2026-09-14T23:23,9128aa9,M2,"wells downstream aquifers [ME]",wells,downstream,,aquifers,ME,"none",FIND_TARGET_IRIS,engine,success,321213,39847,0,ok,"",0,0,16
2026-09-14T23:23,9128aa9,M2,"aquifers downstream samples [ME]",aquifers,downstream,,samples,ME,"none",FIND_TARGET_IRIS,engine,success,14004,2599,0,ok,"",0,0,0
2026-09-14T23:23,9128aa9,M2,"aquifers downstream facilities [ME]",aquifers,downstream,,facilities,ME,"none",FIND_TARGET_IRIS,engine,success,29797,3242,0,ok,"",0,0,0
2026-09-14T23:23,9128aa9,M2,"aquifers downstream waterBodies [ME]",aquifers,downstream,,waterBodies,ME,"none",FIND_TARGET_IRIS,engine,success,159808,4192,0,ok-partial,"",1,0,16
2026-09-14T23:23,9128aa9,M2,"aquifers downstream wells [ME]",aquifers,downstream,,wells,ME,"none",FIND_TARGET_IRIS,engine,success,279301,4159,0,ok,"",0,0,16
2026-09-14T23:23,9128aa9,M2,"aquifers downstream aquifers [ME]",aquifers,downstream,,aquifers,ME,"none",FIND_TARGET_IRIS,engine,success,301406,3117,0,ok-partial,"",3,1,23
2026-09-15T01:08,9128aa9,M3,"samples upstream samples [ME]",samples,upstream,,samples,ME,"none",FIND_TARGET_IRIS,engine,success,12518,3221,0,ok,"",0,0,0
2026-09-15T01:08,9128aa9,M3,"samples upstream facilities [ME]",samples,upstream,,facilities,ME,"none",FIND_TARGET_IRIS,engine,success,14391,2739,0,ok,"",0,0,0
2026-09-15T01:08,9128aa9,M3,"samples upstream waterBodies [ME]",samples,upstream,,waterBodies,ME,"none",FIND_TARGET_IRIS,engine,success,11728,6072,0,ok,"",0,0,0
2026-09-15T01:08,9128aa9,M3,"samples upstream wells [ME]",samples,upstream,,wells,ME,"none",FIND_TARGET_IRIS,engine,success,26239,47730,0,ok,"",0,0,0
2026-09-15T01:08,9128aa9,M3,"samples upstream aquifers [ME]",samples,upstream,,aquifers,ME,"none",FIND_TARGET_IRIS,engine,success,12787,4650,0,ok,"",0,0,0
2026-09-15T01:08,9128aa9,M3,"facilities upstream samples [ME]",facilities,upstream,,samples,ME,"none",FIND_TARGET_IRIS,engine,error,1888462,0,0,failed,"SPARQL timeout (0): No response within 60s",0,0,0
2026-09-15T01:08,9128aa9,M3,"facilities upstream facilities [ME]",facilities,upstream,,facilities,ME,"none",FIND_TARGET_IRIS,engine,error,667593,0,0,failed,"SPARQL timeout (0): No response within 60s",0,0,0
2026-09-15T01:08,9128aa9,M3,"facilities upstream waterBodies [ME]",facilities,upstream,,waterBodies,ME,"none",FIND_TARGET_IRIS,engine,success,257998,6168,0,ok-partial,"",1,0,16
2026-09-15T01:08,9128aa9,M3,"facilities upstream wells [ME]",facilities,upstream,,wells,ME,"none",FIND_TARGET_IRIS,engine,success,307088,37199,0,ok-partial,"",0,6,16
2026-09-15T01:08,9128aa9,M3,"facilities upstream aquifers [ME]",facilities,upstream,,aquifers,ME,"none",FIND_TARGET_IRIS,engine,success,232861,4698,0,ok,"",0,0,16
2026-09-15T01:08,9128aa9,M3,"waterBodies upstream samples [ME]",waterBodies,upstream,,samples,ME,"none",FIND_TARGET_IRIS,engine,success,9492,3064,0,ok,"",0,0,0
2026-09-15T01:08,9128aa9,M3,"waterBodies upstream facilities [ME]",waterBodies,upstream,,facilities,ME,"none",FIND_TARGET_IRIS,engine,success,13720,2770,0,ok,"",0,0,0
