matrix,label,blockA,rel,hops,blockC,region,filters,step,endpoint,status,ms,rows,bytes,errorClass,errorMsg,chunksMax,partialSlices
M4,"waterBodies near(3) facilities [ME]",waterBodies,near,3,facilities,ME,"none",FIND_TARGET_IRIS,engine,success,9754,2245,0,ok,"",0,0
M4,"samples near(3) waterBodies [ME]",samples,near,3,waterBodies,ME,"none",FIND_TARGET_IRIS,engine,error,122626,0,0,failed,"SPARQL out-of-memory (500): Tried to allocate 1.4 GB, but only 227.8 MB were available",16,0
M4,"samples near(4) facilities [ME]",samples,near,4,facilities,ME,"none",FIND_TARGET_IRIS,engine,success,14519,4100,0,ok,"",0,0
M4,"samples near(4) wells [ME]",samples,near,4,wells,ME,"none",FIND_TARGET_IRIS,engine,success,23713,4521,0,ok,"",0,0
M4,"wells near(4) facilities [ME]",wells,near,4,facilities,ME,"none",FIND_TARGET_IRIS,engine,success,130167,27668,0,ok-partial,"",16,11
M4,"waterBodies near(4) facilities [ME]",waterBodies,near,4,facilities,ME,"none",FIND_TARGET_IRIS,engine,success,105532,2727,0,ok,"",16,0
M4,"samples near(4) waterBodies [ME]",samples,near,4,waterBodies,ME,"none",FIND_TARGET_IRIS,engine,success,3913,4242,0,ok,"",0,0
M8,"substance filter (PFOS)",samples,near,1,facilities,ME,"substance",FIND_TARGET_IRIS,engine,success,17282,1375,0,ok,"",0,0
M8,"material filter (GW)",samples,near,1,facilities,ME,"material",FIND_TARGET_IRIS,engine,empty,995,0,0,empty,"No results at step: Finding nearby samples",0,0
M8,"concentration range 10-1000",samples,near,1,facilities,ME,"range",FIND_TARGET_IRIS,engine,success,13511,944,0,ok,"",0,0
M8,"exclude non-detects",samples,near,1,facilities,ME,"nondetect",FIND_TARGET_IRIS,engine,success,8113,1892,0,ok,"",0,0
M8,"substance + downstream",samples,downstream,,facilities,ME,"substance+ds",FIND_TARGET_IRIS,engine,success,28260,1406,0,ok,"",0,0
M8,"NAICS 2-digit (whole sector 31)",samples,near,1,facilities,ME,"naics-sector",FIND_TARGET_IRIS,engine,success,12370,334,0,ok,"",0,0
M8,"aquifer type filter",samples,near,1,aquifers,ME,"aquifer-type",FIND_TARGET_IRIS,engine,success,121194,167,0,ok-partial,"",16,15
M8,"waterbody ftype filter",samples,near,1,waterBodies,ME,"wb-ftype",FIND_TARGET_IRIS,engine,success,2291,1583,0,ok,"",0,0
M2,"samples downstream samples [ME]",samples,downstream,,samples,ME,"none",FIND_TARGET_IRIS,engine,success,12322,3214,0,ok,"",0,0
M2,"samples downstream facilities [ME]",samples,downstream,,facilities,ME,"none",FIND_TARGET_IRIS,engine,success,13925,2412,0,ok,"",0,0
M2,"samples downstream waterBodies [ME]",samples,downstream,,waterBodies,ME,"none",FIND_TARGET_IRIS,engine,success,21127,2610,0,ok,"",0,0
M2,"samples downstream wells [ME]",samples,downstream,,wells,ME,"none",FIND_TARGET_IRIS,engine,success,48404,3202,0,ok,"",0,0
M2,"samples downstream aquifers [ME]",samples,downstream,,aquifers,ME,"none",FIND_TARGET_IRIS,engine,success,26517,2741,0,ok,"",0,0
M2,"facilities downstream samples [ME]",facilities,downstream,,samples,ME,"none",FIND_TARGET_IRIS,engine,success,29074,1657,0,ok,"",0,0
M2,"facilities downstream facilities [ME]",facilities,downstream,,facilities,ME,"none",FIND_TARGET_IRIS,engine,error,163342,0,0,failed,"SPARQL timeout (429): Operation timed out. Last operation: Join on ?s2neighbor",16,0
M2,"facilities downstream waterBodies [ME]",facilities,downstream,,waterBodies,ME,"none",FIND_TARGET_IRIS,engine,success,133024,1068,0,ok-partial,"",16,7
M2,"facilities downstream wells [ME]",facilities,downstream,,wells,ME,"none",FIND_TARGET_IRIS,engine,success,123269,743,0,ok-partial,"",16,12
M2,"facilities downstream aquifers [ME]",facilities,downstream,,aquifers,ME,"none",FIND_TARGET_IRIS,engine,success,135441,1016,0,ok-partial,"",16,7
M2,"waterBodies downstream samples [ME]",waterBodies,downstream,,samples,ME,"none",FIND_TARGET_IRIS,engine,success,13564,1511,0,ok,"",0,0
M2,"waterBodies downstream facilities [ME]",waterBodies,downstream,,facilities,ME,"none",FIND_TARGET_IRIS,engine,success,121757,1032,0,ok-partial,"",16,7
M2,"waterBodies downstream waterBodies [ME]",waterBodies,downstream,,waterBodies,ME,"none",FIND_TARGET_IRIS,engine,success,33371,6095,0,ok,"",0,0
M2,"waterBodies downstream wells [ME]",waterBodies,downstream,,wells,ME,"none",FIND_TARGET_IRIS,engine,success,29810,3991,0,ok,"",0,0
M2,"waterBodies downstream aquifers [ME]",waterBodies,downstream,,aquifers,ME,"none",FIND_TARGET_IRIS,engine,success,101485,4041,0,ok,"",16,0
M2,"wells downstream samples [ME]",wells,downstream,,samples,ME,"none",FIND_TARGET_IRIS,engine,success,24669,28920,0,ok,"",0,0
M2,"wells downstream facilities [ME]",wells,downstream,,facilities,ME,"none",FIND_TARGET_IRIS,engine,success,134449,3889,0,ok-partial,"",16,14
M2,"wells downstream waterBodies [ME]",wells,downstream,,waterBodies,ME,"none",FIND_TARGET_IRIS,engine,success,132771,17375,0,ok-partial,"",16,11
M2,"wells downstream wells [ME]",wells,downstream,,wells,ME,"none",FIND_TARGET_IRIS,engine,success,127487,3105,0,ok-partial,"",16,15
M2,"wells downstream aquifers [ME]",wells,downstream,,aquifers,ME,"none",FIND_TARGET_IRIS,engine,success,124979,12064,0,ok-partial,"",16,13
M2,"aquifers downstream samples [ME]",aquifers,downstream,,samples,ME,"none",FIND_TARGET_IRIS,engine,success,12891,2599,0,ok,"",0,0
M2,"aquifers downstream facilities [ME]",aquifers,downstream,,facilities,ME,"none",FIND_TARGET_IRIS,engine,success,29557,3242,0,ok,"",0,0
M2,"aquifers downstream waterBodies [ME]",aquifers,downstream,,waterBodies,ME,"none",FIND_TARGET_IRIS,engine,success,122191,3031,0,ok-partial,"",16,6
M2,"aquifers downstream wells [ME]",aquifers,downstream,,wells,ME,"none",FIND_TARGET_IRIS,engine,success,123040,1776,0,ok-partial,"",16,9
M2,"aquifers downstream aquifers [ME]",aquifers,downstream,,aquifers,ME,"none",FIND_TARGET_IRIS,engine,success,128690,854,0,ok-partial,"",16,20
M3,"samples upstream samples [ME]",samples,upstream,,samples,ME,"none",FIND_TARGET_IRIS,engine,error,99678,0,0,failed,"SPARQL network (0): fetch failed",0,0
M3,"samples upstream facilities [ME]",samples,upstream,,facilities,ME,"none",FIND_TARGET_IRIS,engine,success,13767,2739,0,ok,"",0,0
M3,"samples upstream waterBodies [ME]",samples,upstream,,waterBodies,ME,"none",FIND_TARGET_IRIS,engine,success,12270,6072,0,ok,"",0,0
M3,"samples upstream wells [ME]",samples,upstream,,wells,ME,"none",FIND_TARGET_IRIS,engine,error,551866,0,0,failed,"SPARQL network (0): fetch failed",0,0
M3,"samples upstream aquifers [ME]",samples,upstream,,aquifers,ME,"none",FIND_TARGET_IRIS,engine,success,15097,4650,0,ok,"",0,0
M3,"facilities upstream samples [ME]",facilities,upstream,,samples,ME,"none",FIND_TARGET_IRIS,engine,success,28267,3195,0,ok,"",0,0
M3,"facilities upstream facilities [ME]",facilities,upstream,,facilities,ME,"none",FIND_TARGET_IRIS,engine,error,1918322,0,0,failed,"SPARQL network (0): fetch failed",0,0
